row_id_original,term_id,term,type,langs,country,language_pair,country_label,comparison_label,comparison_side,code_lang,hl,gl,collection_date,result_number,link,link_clean,domain,top_level_domain,link_type,link_accessibility,valid_link,site_type,content_producer,author_background,recency_raw,major_errors_raw,accuracy_raw,jargon_score_raw,background_required_raw,access_multimedia_video,access_multimedia_database,access_multimedia_graphs,access_multimedia_hyperlinks,access_multimedia,access_sci_laypeople,access_sci_background,access_sci,accuracy_major_errors,accuracy_presentation,accuracy,cred_has_sources,cred_has_refs,cred_sourcing,cred_producer_high,cred_author_background,cred_source,contextual_everyday,contextual_local_examples,contextual,recency,agg_sci_qual,agg_sci_qual_norm,relevance_score,ndcg,n_coded_results_at_10
932,29,Poids,Canonical Scientific Issues,French,"Kinshasa,Democratic Republic of the Congo",French,DR Congo,France - DR Congo,negative,fr,fr,cg,4.12.2022,10,https://www.futura-sciences.com/sciences/questions-reponses/physique-difference-poids-masse-objet-6985/,https://www.futura-sciences.com/sciences/questions-reponses/physique-difference-poids-masse-objet-6985/,www.futura-sciences.com,futura-sciences.com,1,1,TRUE,1,7,2,4,2,3,3,2,0,0,0,1,1,1,1,2,1,1,2,0,0,0,1,0.5,1.5,1,0,1,1,8.5,4.5,4.5,0.141740497,1
940,35,Système solaire,Canonical Scientific Issues,French,"Kinshasa,Democratic Republic of the Congo",French,DR Congo,France - DR Congo,negative,fr,fr,cg,4.12.2022,12,https://www.alloprof.qc.ca/fr/eleves/bv/sciences/les-planetes-du-systeme-solaire-s1077,https://www.alloprof.qc.ca/fr/eleves/bv/sciences/les-planetes-du-systeme-solaire-s1077,www.alloprof.qc.ca,alloprof.qc.ca,1,1,TRUE,5,6,1,1,2,3,2,2,1,0,1,1,3,0,1,1,1,1,2,0,0,0,1,0,1,0,0,0,0,7,2.75,2.75,,
945,38,Évolution,Canonical Scientific Issues,French,"Kinshasa,Democratic Republic of the Congo",French,DR Congo,France - DR Congo,negative,fr,fr,cg,4.12.2022,10,https://onlinelibrary.wiley.com/journal/15585646,https://onlinelibrary.wiley.com/journal/15585646,onlinelibrary.wiley.com,wiley.com,1,5,FALSE,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,1
949,39,PCR,Novel Science and Technology Issues,French,"Kinshasa,Democratic Republic of the Congo",French,DR Congo,France - DR Congo,negative,fr,fr,cg,4.12.2022,3,https://www.futura-sciences.com/sante/definitions/genetique-pcr-91/,https://www.futura-sciences.com/sante/definitions/genetique-pcr-91/,www.futura-sciences.com,futura-sciences.com,1,1,TRUE,5,7,2,4,2,3,1,1,1,0,0,1,2,0,0,0,1,1,2,0,0,0,1,0.5,1.5,0,0,0,1,6.5,3.25,3.25,0.212871937,2
952,39,PCR,Novel Science and Technology Issues,French,"Kinshasa,Democratic Republic of the Congo",French,DR Congo,France - DR Congo,negative,fr,fr,cg,4.12.2022,7,https://www.supagro.fr/ress-tice/PCR/1/co/definition.html,https://www.supagro.fr/ress-tice/pcr/1/co/definition.html,www.supagro.fr,supagro.fr,1,1,TRUE,5,3,1,1,2,3,1,1,1,0,1,1,3,0,0,0,1,1,2,0,0,0,1,0,1,0,0,0,0,6,2.25,2.25,0.212871937,2
954,39,PCR,Novel Science and Technology Issues,French,"Kinshasa,Democratic Republic of the Congo",French,DR Congo,France - DR Congo,negative,fr,fr,cg,4.12.2022,11,https://www.clinisciences.com/achat/cat-pcr-conventionnelle-3473.html,https://www.clinisciences.com/achat/cat-pcr-conventionnelle-3473.html,www.clinisciences.com,clinisciences.com,1,1,TRUE,5,12,1,1,2,3,1,1,1,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,3,1.25,1.25,0.212871937,2
963,43,génome,Novel Science and Technology Issues,French,"Kinshasa,Democratic Republic of the Congo",French,DR Congo,France - DR Congo,negative,fr,fr,cg,4.12.2022,6,https://www.youtube.com/watch?v=TCnG7R50IlU,https://www.youtube.com/watch?v=tcng7r50ilu,www.youtube.com,youtube.com,2,1,TRUE,3,14,3,3,2,3,2,1,1,0,1,1,3,0,0,0,1,1,2,0,0,0,0,1,1,0,0,0,0,6,2.25,2.25,0.197231423,2
965,43,génome,Novel Science and Technology Issues,French,"Kinshasa,Democratic Republic of the Congo",French,DR Congo,France - DR Congo,negative,fr,fr,cg,4.12.2022,8,https://planet-vie.ens.fr/thematiques/manipulations-en-laboratoire/la-revolution-de-la-genomique-les-nouvelles-methodes-de,https://planet-vie.ens.fr/thematiques/manipulations-en-laboratoire/la-revolution-de-la-genomique-les-nouvelles-methodes-de,planet-vie.ens.fr,ens.fr,1,1,TRUE,5,6,3,4,2,3,1,1,1,0,1,1,3,0,0,0,1,1,2,1,0,1,1,1,2,0,0,0,1,9,4.25,4.25,0.197231423,2
972,44,Mars,Novel Science and Technology Issues,French,"Kinshasa,Democratic Republic of the Congo",French,DR Congo,France - DR Congo,negative,fr,fr,cg,4.12.2022,10,https://www.stelvision.com/astro/observer-mars/,https://www.stelvision.com/astro/observer-mars/,www.stelvision.com,stelvision.com,1,1,TRUE,5,12,2,4,2,3,3,2,1,0,0,1,2,1,1,2,1,1,2,0,0,0,0,0.5,0.5,0,1,1,1,8.5,4.25,4.25,0.096680646,1
973,44,Mars,Novel Science and Technology Issues,French,"Kinshasa,Democratic Republic of the Congo",French,DR Congo,France - DR Congo,negative,fr,fr,cg,4.12.2022,12,https://www.mars.com/,https://www.mars.com/,www.mars.com,mars.com,1,4,FALSE,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.096680646,1
980,45,Astéroïdes,Novel Science and Technology Issues,French,"Kinshasa,Democratic Republic of the Congo",French,DR Congo,France - DR Congo,negative,fr,fr,cg,4.12.2022,10,https://www.youtube.com/watch?v=KoNZUPAJZmo,https://www.youtube.com/watch?v=konzupajzmo,www.youtube.com,youtube.com,1,1,TRUE,3,14,3,2,2,3,1,1,1,0,0,0,1,0,0,0,1,1,2,0,0,0,0,1,1,0,1,1,0,5,2.25,2.25,0.051039015,1
981,45,Astéroïdes,Novel Science and Technology Issues,French,"Kinshasa,Democratic Republic of the Congo",French,DR Congo,France - DR Congo,negative,fr,fr,cg,4.12.2022,12,https://www.numerama.com/sciences/746451-quest-ce-quun-asteroide.html,https://www.numerama.com/sciences/746451-quest-ce-quun-asteroide.html,www.numerama.com,numerama.com,1,1,TRUE,5,11,2,4,2,3,3,1,1,0,1,1,3,1,0,1,1,1,2,0,0,0,0,0.5,0.5,0,0,0,1,7.5,3.5,3.5,0.051039015,1
988,46,CRISPR,Novel Science and Technology Issues,French,"Kinshasa,Democratic Republic of the Congo",French,DR Congo,France - DR Congo,negative,fr,fr,cg,4.12.2022,10,https://medlineplus.gov/genetics/understanding/genomicresearch/genomeediting/,https://medlineplus.gov/genetics/understanding/genomicresearch/genomeediting/,medlineplus.gov,medlineplus.gov,1,3,FALSE,1,1,1,1,2,3,3,1,0,0,0,1,1,1,0,1,1,1,2,0,1,1,1,0,1,0,0,0,0,6,2.75,0,0,1
992,47,Véhicule Autonome,Novel Science and Technology Issues,French,"Kinshasa,Democratic Republic of the Congo",French,DR Congo,France - DR Congo,negative,fr,fr,cg,4.12.2022,10,https://iramis.cea.fr/ComScience/Phases/phases_23/p23article1.html,https://iramis.cea.fr/comscience/phases/phases_23/p23article1.html,iramis.cea.fr,cea.fr,1,1,TRUE,5,3,1,1,2,3,1,1,1,0,0,0,1,0,0,0,1,1,2,0,0,0,1,0,1,0,0,0,0,4,1.75,1.75,0.05778561,1
1001,49,trou noir,Novel Science and Technology Issues,French,"Kinshasa,Democratic Republic of the Congo",French,DR Congo,France - DR Congo,negative,fr,fr,cg,4.12.2022,4,https://www.ledevoir.com/societe/science/772930/un-trou-noir-tres-lointain-surpris-en-plein-souper,https://www.ledevoir.com/societe/science/772930/un-trou-noir-tres-lointain-surpris-en-plein-souper,www.ledevoir.com,ledevoir.com,3,1,TRUE,1,11,2,4,2,3,2,1,1,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0.5,0.5,0,1,1,1,5.5,3,3,0.122303473,1
1006,49,trou noir,Novel Science and Technology Issues,French,"Kinshasa,Democratic Republic of the Congo",French,DR Congo,France - DR Congo,negative,fr,fr,cg,4.12.2022,14,https://www.sciencesetavenir.fr/tag_theme/trou-noir_9381/,https://www.sciencesetavenir.fr/tag_theme/trou-noir_9381/,www.sciencesetavenir.fr,sciencesetavenir.fr,1,4,FALSE,2,7,1,1,0,0,0,2,0,1,0,1,2,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,4,1.5,0,0.122303473,1
868,5,Environnement,Canonical Scientific Issues,French,"Kinshasa,Democratic Republic of the Congo",French,DR Congo,France - DR Congo,negative,fr,fr,cg,4.12.2022,2,https://www.techno-science.net/definition/3469.html,https://www.techno-science.net/definition/3469.html,www.techno-science.net,techno-science.net,1,1,TRUE,5,7,1,1,2,3,1,1,0,0,0,1,1,0,0,0,1,1,2,0,1,1,1,0,1,0,1,1,0,6,2.75,2.75,0.536329429,5
869,5,Environnement,Canonical Scientific Issues,French,"Kinshasa,Democratic Republic of the Congo",French,DR Congo,France - DR Congo,negative,fr,fr,cg,4.12.2022,4,https://www.toupie.org/Dictionnaire/Environnement.htm,https://www.toupie.org/dictionnaire/environnement.htm,www.toupie.org,toupie.org,1,1,TRUE,1,17,1,1,2,3,3,2,0,0,0,1,1,1,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,5,2.25,2.25,0.536329429,5
872,5,Environnement,Canonical Scientific Issues,French,"Kinshasa,Democratic Republic of the Congo",French,DR Congo,France - DR Congo,negative,fr,fr,cg,4.12.2022,7,https://www.developpement-durable.gouv.cg/,https://www.developpement-durable.gouv.cg/,www.developpement-durable.gouv.cg,gouv.cg,1,1,TRUE,2,1,1,1,2,3,3,2,1,1,0,1,3,1,1,2,1,1,2,0,0,0,1,0,1,0,1,1,0,9,3.75,3.75,0.536329429,5
875,5,Environnement,Canonical Scientific Issues,French,"Kinshasa,Democratic Republic of the Congo",French,DR Congo,France - DR Congo,negative,fr,fr,cg,4.12.2022,9,https://www.projetecolo.com/qu-est-ce-que-l-environnement-definition-et-resume-200.html,https://www.projetecolo.com/qu-est-ce-que-l-environnement-definition-et-resume-200.html,www.projetecolo.com,projetecolo.com,1,1,TRUE,5,11,2,4,2,3,3,1,1,0,0,1,2,1,0,1,1,1,2,0,0,0,0,0.5,0.5,1,0,1,1,7.5,3.75,3.75,0.536329429,5
876,5,Environnement,Canonical Scientific Issues,French,"Kinshasa,Democratic Republic of the Congo",French,DR Congo,France - DR Congo,negative,fr,fr,cg,4.12.2022,10,https://www.studyrama.com/formations/specialites/environnement-developpement-durable,https://www.studyrama.com/formations/specialites/environnement-developpement-durable,www.studyrama.com,studyrama.com,1,1,TRUE,5,12,1,1,2,3,3,2,1,0,0,1,2,1,1,2,1,1,2,0,0,0,0,0,0,1,1,2,0,8,3.5,3.5,0.536329429,5
1010,52,mutations,Novel Science and Technology Issues,French,"Kinshasa,Democratic Republic of the Congo",French,DR Congo,France - DR Congo,negative,fr,fr,cg,4.12.2022,6,https://www.genome.gov/genetics-glossary/Mutation,https://www.genome.gov/genetics-glossary/mutation,www.genome.gov,genome.gov,1,3,FALSE,5,3,3,4,2,3,2,2,0,0,1,1,2,0,1,1,1,1,2,0,0,0,1,1,2,1,0,1,1,9,4.5,0,0,1
1018,54,Sécurité alimentaire,Socio-Scientific Issues,French,"Kinshasa,Democratic Republic of the Congo",French,DR Congo,France - DR Congo,negative,fr,fr,cg,4.12.2022,4,https://www.actioncontrelafaim.org/notre-expertise/securite-alimentaire-et-moyens-dexistence/,https://www.actioncontrelafaim.org/notre-expertise/securite-alimentaire-et-moyens-dexistence/,www.actioncontrelafaim.org,actioncontrelafaim.org,1,1,TRUE,1,2,1,1,2,3,3,1,0,0,0,1,1,1,0,1,1,1,2,0,0,0,0,0,0,1,0,1,0,5,2.25,2.25,0.102433547,2
1020,54,Sécurité alimentaire,Socio-Scientific Issues,French,"Kinshasa,Democratic Republic of the Congo",French,DR Congo,France - DR Congo,negative,fr,fr,cg,4.12.2022,9,https://www.preventionweb.net/resource/master-en-prevention-et-gestion-des-risques-lies-la-securite-alimentaire-en-afrique-pgrsa,https://www.preventionweb.net/resource/master-en-prevention-et-gestion-des-risques-lies-la-securite-alimentaire-en-afrique-pgrsa,www.preventionweb.net,preventionweb.net,1,4,FALSE,1,17,1,1,0,0,3,2,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0.102433547,2
1027,58,Énergie renouvelable,Socio-Scientific Issues,French,"Kinshasa,Democratic Republic of the Congo",French,DR Congo,France - DR Congo,negative,fr,fr,cg,4.12.2022,3,https://youmatter.world/fr/definition/energies-renouvelables-definition/,https://youmatter.world/fr/definition/energies-renouvelables-definition/,youmatter.world,youmatter.world,1,1,TRUE,1,11,1,4,2,3,3,1,0,0,0,1,1,1,0,1,1,1,2,0,0,0,0,0,0,0,1,1,1,6,3.25,3.25,0.292193238,3
1029,58,Énergie renouvelable,Socio-Scientific Issues,French,"Kinshasa,Democratic Republic of the Congo",French,DR Congo,France - DR Congo,negative,fr,fr,cg,4.12.2022,6,https://www.planete-energies.com/fr/medias/decryptages/les-energies-renouvelables,https://www.planete-energies.com/fr/medias/decryptages/les-energies-renouvelables,www.planete-energies.com,planete-energies.com,1,1,TRUE,5,6,1,3,2,3,3,1,1,0,0,1,2,1,0,1,1,1,2,0,0,0,1,0,1,0,0,0,0,6,2.5,2.5,0.292193238,3
1033,58,Énergie renouvelable,Socio-Scientific Issues,French,"Kinshasa,Democratic Republic of the Congo",French,DR Congo,France - DR Congo,negative,fr,fr,cg,4.12.2022,10,https://energie.wallonie.be/fr/energies-renouvelables.html?IDC=6169,https://energie.wallonie.be/fr/energies-renouvelables.html?idc=6169,energie.wallonie.be,wallonie.be,1,1,TRUE,1,1,1,1,2,3,3,2,1,0,0,0,1,1,1,2,1,1,2,0,0,0,1,0,1,0,0,0,0,6,2.75,2.75,0.292193238,3
1037,59,Changement climatique,Socio-Scientific Issues,French,"Kinshasa,Democratic Republic of the Congo",French,DR Congo,France - DR Congo,negative,fr,fr,cg,4.12.2022,5,https://www.amnesty.org/fr/get-involved/take-action/?utm_source=google&utm_medium=cpc&gclid=EAIaIQobChMIpYqn37Tf-wIVgDizAB0BMAVjEAAYASAEEgLqI_D_BwE,https://www.amnesty.org/fr/get-involved/take-action/?utm_source=google&utm_medium=cpc&gclid=eaiaiqobchmipyqn37tf-wivgdizab0bmavjeaayasaeeglqi_d_bwe,www.amnesty.org,amnesty.org,1,4,FALSE,2,2,1,1,0,0,0,2,1,1,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,5,1.75,0,0.080439547,2
1039,59,Changement climatique,Socio-Scientific Issues,French,"Kinshasa,Democratic Republic of the Congo",French,DR Congo,France - DR Congo,negative,fr,fr,cg,4.12.2022,7,https://www.un.org/fr/global-issues/climate-change,https://www.un.org/fr/global-issues/climate-change,www.un.org,un.org,1,1,TRUE,5,4,1,1,2,3,1,1,1,0,0,1,2,0,0,0,1,1,2,0,1,1,1,0,1,0,0,0,0,6,2.5,2.5,0.080439547,2
1042,59,Changement climatique,Socio-Scientific Issues,French,"Kinshasa,Democratic Republic of the Congo",French,DR Congo,France - DR Congo,negative,fr,fr,cg,4.12.2022,12,https://www.myclimate.org/fr/sinformer/faq/faq-detail/quelles-sont-les-consequences-du-changement-climatique/,https://www.myclimate.org/fr/sinformer/faq/faq-detail/quelles-sont-les-consequences-du-changement-climatique/,www.myclimate.org,myclimate.org,1,1,TRUE,5,2,1,4,2,3,1,1,1,0,0,0,1,0,0,0,1,1,2,0,1,1,0,0,0,0,0,0,1,5,2.75,2.75,0.080439547,2
1043,59,Changement climatique,Socio-Scientific Issues,French,"Kinshasa,Democratic Republic of the Congo",French,DR Congo,France - DR Congo,negative,fr,fr,cg,4.12.2022,13,https://journals.openedition.org/vertigo/4042,https://journals.openedition.org/vertigo/4042,journals.openedition.org,openedition.org,1,1,TRUE,5,8,3,2,2,3,1,1,1,0,1,1,3,0,0,0,1,1,2,0,0,0,1,1,2,0,1,1,0,8,3.25,3.25,0.080439547,2
879,6,Écosystème,Canonical Scientific Issues,French,"Kinshasa,Democratic Republic of the Congo",French,DR Congo,France - DR Congo,negative,fr,fr,cg,4.12.2022,3,https://www.futura-sciences.com/planete/definitions/environnement-ecosysteme-135/,https://www.futura-sciences.com/planete/definitions/environnement-ecosysteme-135/,www.futura-sciences.com,futura-sciences.com,1,1,TRUE,5,7,1,1,2,3,1,1,1,0,0,1,2,0,0,0,1,1,2,0,0,0,1,0,1,0,0,0,0,5,2,2,0.120672753,1
1048,65,Pollution du sol,Socio-Scientific Issues,French,"Kinshasa,Democratic Republic of the Congo",French,DR Congo,France - DR Congo,negative,fr,fr,cg,4.12.2022,9,https://www.fao.org/fao-stories/article/fr/c/1126976/,https://www.fao.org/fao-stories/article/fr/c/1126976/,www.fao.org,fao.org,1,1,TRUE,5,4,1,3,2,3,3,1,1,0,0,0,1,1,0,1,1,1,2,0,1,1,1,0,1,1,0,1,0,7,3.25,3.25,0.090877614,1
1054,66,Gaz à effet de serre,Socio-Scientific Issues,French,"Kinshasa,Democratic Republic of the Congo",French,DR Congo,France - DR Congo,negative,fr,fr,cg,4.12.2022,10,https://www.futura-sciences.com/planete/definitions/climatologie-gaz-effet-serre-5381/,https://www.futura-sciences.com/planete/definitions/climatologie-gaz-effet-serre-5381/,www.futura-sciences.com,futura-sciences.com,1,1,TRUE,5,7,1,1,2,3,3,2,1,0,0,1,2,1,1,2,1,1,2,0,0,0,1,0,1,0,0,0,0,7,3,3,0.076396002,1
1060,68,Infection,Socio-Scientific Issues,French,"Kinshasa,Democratic Republic of the Congo",French,DR Congo,France - DR Congo,negative,fr,fr,cg,4.12.2022,7,https://cancer.ca/fr/treatments/side-effects/infection,https://cancer.ca/fr/treatments/side-effects/infection,cancer.ca,cancer.ca,1,1,TRUE,1,2,1,1,2,3,1,1,0,0,0,1,1,0,0,0,1,1,2,1,0,1,0,0,0,1,0,1,0,5,2.25,2.25,0.113928103,2
1061,68,Infection,Socio-Scientific Issues,French,"Kinshasa,Democratic Republic of the Congo",French,DR Congo,France - DR Congo,negative,fr,fr,cg,4.12.2022,9,https://www.sciensano.be/fr/sujets-sante/infections-du-sang,https://www.sciensano.be/fr/sujets-sante/infections-du-sang,www.sciensano.be,sciensano.be,1,1,TRUE,1,3,1,1,2,3,2,1,0,0,0,0,0,0,0,0,1,1,2,0,1,1,1,0,1,0,1,1,0,5,2.5,2.5,0.113928103,2
1065,70,Inondation,Socio-Scientific Issues,French,"Kinshasa,Democratic Republic of the Congo",French,DR Congo,France - DR Congo,negative,fr,fr,cg,4.12.2022,3,https://www.ifrc.org/fr/notre-travail/catastrophes-climat-et-crises/quest-ce-quune-catastrophe/les-inondations,https://www.ifrc.org/fr/notre-travail/catastrophes-climat-et-crises/quest-ce-quune-catastrophe/les-inondations,www.ifrc.org,ifrc.org,1,1,TRUE,5,2,1,1,2,3,3,2,1,0,0,1,2,1,1,2,1,1,2,0,0,0,0,0,0,1,0,1,0,7,3,3,0.312420615,3
1066,70,Inondation,Socio-Scientific Issues,French,"Kinshasa,Democratic Republic of the Congo",French,DR Congo,France - DR Congo,negative,fr,fr,cg,4.12.2022,4,https://www.futura-sciences.com/planete/questions-reponses/eau-sont-causes-inondations-1314/,https://www.futura-sciences.com/planete/questions-reponses/eau-sont-causes-inondations-1314/,www.futura-sciences.com,futura-sciences.com,1,1,TRUE,5,7,1,4,2,3,3,2,1,0,0,1,2,1,1,2,1,1,2,0,0,0,1,0,1,0,0,0,1,8,4,4,0.312420615,3
1070,70,Inondation,Socio-Scientific Issues,French,"Kinshasa,Democratic Republic of the Congo",French,DR Congo,France - DR Congo,negative,fr,fr,cg,4.12.2022,10,https://www.eaufrance.fr/les-inondations-et-les-submersions-marines,https://www.eaufrance.fr/les-inondations-et-les-submersions-marines,www.eaufrance.fr,eaufrance.fr,1,1,TRUE,5,1,1,1,2,3,2,1,1,0,1,1,3,0,0,0,1,1,2,0,0,0,1,0,1,1,1,2,0,8,3.25,3.25,0.312420615,3
1074,71,Sécheresse,Socio-Scientific Issues,French,"Kinshasa,Democratic Republic of the Congo",French,DR Congo,France - DR Congo,negative,fr,fr,cg,4.12.2022,2,https://www.liberation.fr/environnement/climat/arretes-secheresse-une-vingtaine-de-departements-concernes-en-decembre-et-au-dela-20221202_SG7KQ6ARZFGP7ECHIVSMYDKSWM/,https://www.liberation.fr/environnement/climat/arretes-secheresse-une-vingtaine-de-departements-concernes-en-decembre-et-au-dela-20221202_sg7kq6arzfgp7echivsmydkswm/,www.liberation.fr,liberation.fr,3,1,TRUE,1,11,2,4,2,3,3,2,1,0,0,1,2,1,1,2,1,1,2,0,0,0,0,0.5,0.5,0,1,1,1,8.5,4.25,4.25,0.346388911,4
1075,71,Sécheresse,Socio-Scientific Issues,French,"Kinshasa,Democratic Republic of the Congo",French,DR Congo,France - DR Congo,negative,fr,fr,cg,4.12.2022,4,https://www.lepoint.fr/environnement/secheresse-dans-le-var-des-villages-encore-rationnes-en-eau-02-12-2022-2500154_1927.php,https://www.lepoint.fr/environnement/secheresse-dans-le-var-des-villages-encore-rationnes-en-eau-02-12-2022-2500154_1927.php,www.lepoint.fr,lepoint.fr,3,1,TRUE,1,11,2,4,2,3,3,2,1,0,0,1,2,1,1,2,1,1,2,0,0,0,0,0.5,0.5,1,1,2,1,9.5,4.75,4.75,0.346388911,4
